bin,score_min,score_max,n,weight_sum,mean_predicted_probability,observed_low_performer_rate,absolute_calibration_gap
1,0.0,0.1,22351,18514.91960346941,0.04810666778077405,0.0309800947758866,0.017126573004887447
2,0.1,0.2,14030,10877.736548671155,0.14765665682267426,0.13493148014845457,0.012725176674219685
3,0.2,0.30000000000000004,11058,8668.935675328652,0.2491227477565828,0.26068311814666956,0.011560370390086755
4,0.30000000000000004,0.4,10096,8711.388597218625,0.3503809258019989,0.3691034526336565,0.018722526831657593
5,0.4,0.5,9908,8532.209041289054,0.4496528231597494,0.46945219668459015,0.019799373524840735
6,0.5,0.6000000000000001,9380,8237.558187237932,0.5512642518639344,0.5413299778703273,0.009934273993607023
7,0.6000000000000001,0.7000000000000001,9650,8870.42700937061,0.6493875228194929,0.6452264793337732,0.004161043485719662
8,0.7000000000000001,0.8,10301,10778.09616821399,0.7523657864724936,0.7476968226228672,0.004668963849626451
9,0.8,0.9,12342,15217.350019573023,0.8548080030786918,0.8542494537309412,0.0005585493477505699
10,0.9,1.0,13633,24431.38067833377,0.9488056100562928,0.962004623636112,0.01319901357981923
