group,n,brier,ece,calibration_slope,calibration_intercept
All students,122749,0.12602604429024883,0.007719632254782405,0.9869266436696847,0.046939111679139785
Gender: Female,60761,0.1268616557550672,0.008777167228416267,0.9904169661620003,0.06419509439417909
Gender: Male,61972,0.12522637009445983,0.011298598324807662,0.9834265403124268,0.030929476316480246
Immigrant: Native student,99949,0.12555640363286188,0.007967054120971769,1.0057614643313033,0.03192855763324435
Immigrant: First-Generation student,6703,0.14765143504720646,0.05391256293540136,0.831185357551734,0.18110498715156725
Immigrant: Second-Generation student,7257,0.16237868152941587,0.07663270371766284,0.813721766923644,0.34452468641842976
ESCS Q1,29440,0.11482162476606546,0.01088828555691361,0.9789721089393448,0.016304692287921328
ESCS Q2,29439,0.14039597250028973,0.018692456606525038,1.0225954670957158,0.11942244318639887
ESCS Q3,29439,0.14008224834386585,0.014589849641161999,0.9958299591872807,0.05914064510699075
ESCS Q4,29440,0.10299217591632177,0.02014516604341309,0.9881462178851499,0.10392635486489753
Low-SES non-native (intersection),2495,0.19712104573819889,0.12221879804606076,0.6023877596829678,0.44991005594114386
High-SES native (reference),25663,0.10079519394604432,0.019085362014961596,0.9952827641301616,0.044775069465879995
STRONG-CALIBRATION VERDICT,122749,,0.12221879804606076,,
