feature,importance_mean,importance_std
HOMEPOS,0.04164216931073348,0.0008388656642271981
MATHEFF,0.02787744182019314,0.0018739132032099084
FAMCON,0.007880435133779983,0.0007518147087063793
GRADE,0.00736915278079322,0.0008755187594921518
ICTRES,0.007178383558970736,0.0009200526954978614
COGACMCO,0.006398894331668847,0.00020438346101864948
ICTEFFIC,0.006242084599797448,0.0003130979308729962
STUBEHA,0.006046368252848211,0.0005398511178261608
COGACRCO,0.005436720898465852,0.0001887851915265399
HISEI,0.005251351110352953,0.0004426432771498536
ANXMAT,0.005113643339174656,0.0006547496948328469
TEACHSUP,0.0044653518702314045,0.00023497446878980427
BULLIED,0.0041617195415400545,0.00027630383535349573
MATHEF21,0.0039723637840394675,0.00018555134335990314
EDUSHORT,0.003816781746893283,0.0002575420353581616
DISCLIM,0.003725197335773234,0.0002514847693838794
MATHPERS,0.0035991203567293795,0.00034968708754091934
FAMSUP,0.0035738354992453036,0.0005195663368725072
ICTSUBJ,0.0033403433086760304,0.0006166162516863759
ST004D01T,0.00276331871084301,0.00015548960284915726
STUDYHMW,0.002574932186020362,0.00035504645420712604
SCHRISK,0.0019037991336352533,0.00023990304652878535
TEACHBEHA,0.001604245659129888,6.965021945113794e-05
ESCS,0.001500436800860161,0.00035127396709883145
STAFFSHORT,0.001440166682174371,0.00022547254803620675
BELONG,0.0010280974091765537,0.00016106926554288432
ICTINFO,0.0009709692197547914,0.00017902524823254054
ICTHOME,0.0008291704789819221,0.00012084289699411846
ICTSCH,0.000807996783439835,0.00024196328676352722
PAREDINT,0.0007149908310589259,0.00019300722581308286
FEELSAFE,0.0005768913283398458,0.0001920072685525352
AGE,0.00033276584760046914,7.40354685970472e-05
IMMIG,8.816786593057735e-05,1.32726104622416e-05
