feature,mean_shap_contribution,std_shap_contribution,median_shap_contribution,n_appearances,pct_students
FAMCON,0.28147187264380846,0.15530407628511636,0.24816403868970155,1363,0.6815
HOMEPOS,0.656723504213218,0.32145472458490487,0.6472743837511462,1359,0.6795
MATHEFF,0.4135047317643899,0.2246548624901098,0.3304547639868679,1346,0.673
HISEI,0.2955723805032698,0.12730670218653725,0.28032836192507604,1185,0.5925
STUBEHA,0.3355340824583769,0.15257776037063145,0.31282771938946213,1010,0.505
ICTRES,0.530052467677931,0.31445168676643626,0.47266418448380365,960,0.48
ST004D01T,0.2197595464397117,0.06479656447256982,0.21226144118591037,839,0.4195
DISCLIM,0.22238160516053124,0.08735602931361,0.22076882625649888,719,0.3595
ANXMAT,0.24844022830072593,0.08983863258027924,0.2392199831842936,690,0.345
STUDYHMW,0.2002303677466438,0.08717517097959417,0.1867921861092327,669,0.3345
COGACRCO,0.24764752408133073,0.13087587362106073,0.2141291408274992,667,0.3335
EDUSHORT,0.2647980459481141,0.11626150055906327,0.2527916654439969,636,0.318
BULLIED,0.3234418878525157,0.1975722868691575,0.28002468239576045,635,0.3175
MATHPERS,0.23440959500465203,0.1167848791455882,0.21666176854521838,607,0.3035
ICTSCH,0.1682615684417186,0.0848779443910789,0.14207222013223145,593,0.2965
STAFFSHORT,0.1629599054765147,0.07961850486247778,0.1497925632469287,557,0.2785
ESCS,0.14792839627621382,0.06259030361398916,0.13350021463429584,555,0.2775
BELONG,0.4597634244611363,0.33806959893913746,0.37221442098706803,506,0.253
TEACHSUP,0.19571542142073511,0.08004586589396445,0.1857489227627775,504,0.252
FAMSUP,0.24087729426766877,0.10360318569388267,0.22456163888964512,499,0.2495
COGACMCO,0.24495978072276928,0.11217122977134937,0.22730499401264753,488,0.244
GRADE,0.7232840848459144,0.40644460684601363,0.5882640853209842,472,0.236
ICTHOME,0.17547072184315762,0.09578115894113794,0.15151532793843217,449,0.2245
ICTEFFIC,0.31664299633343196,0.16973904672500387,0.29122599094777113,423,0.2115
TEACHBEHA,0.24303004556277874,0.11698593286440824,0.21537298984626432,390,0.195
SCHRISK,0.26110397997845963,0.13048112088741798,0.23771577734320087,384,0.192
ICTSUBJ,0.2321585285666273,0.11431417369614733,0.2179047934467735,318,0.159
MATHEF21,0.19694090419250576,0.07661181832684347,0.1828323492996242,313,0.1565
FEELSAFE,0.174858641803623,0.09989173598349256,0.15665945830145575,305,0.1525
IMMIG,0.29733482067513567,0.15588647990289603,0.32109418107345844,184,0.092
PAREDINT,0.18398011177314322,0.11194078755043202,0.1651517020675965,175,0.0875
ICTINFO,0.18161335042725255,0.10652101424854306,0.14806509675009694,158,0.079
AGE,0.08066751182515278,0.03668450929749694,0.07432439227959547,42,0.021
