feature,mean_shap_for_low_perf,mean_required_change,normalized_required_change,n_low_students
STUDYHMW,0.03899778025536609,0.14963116704487872,0.043883763055638576,4502
ST004D01T,0.015045673908111998,0.20248464716401132,0.40502701098115235,4502
FAMCON,0.17938528419678662,0.25754253273758676,,4502
HOMEPOS,0.3770754951894984,0.585980267301545,,4502
MATHEFF,0.21097354054403372,0.3679592478316925,,4502
HISEI,0.1634518487915282,0.2547475759658035,,4502
STUBEHA,0.11517986321526656,0.27688781888302916,,4502
ICTRES,0.18871808127918335,0.4428002287416579,,4502
DISCLIM,0.06390131503757986,0.15992716056552259,,4502
ANXMAT,0.05177674397689203,0.17509582960019507,,4502
COGACRCO,0.0692658367412939,0.16057883406957085,,4502
EDUSHORT,0.05611780953273135,0.17101239307326344,,4502
BULLIED,0.0981522260380998,0.18576961154944166,,4502
MATHPERS,0.0647805434146991,0.15083248497320242,,4502
ICTSCH,0.05170228509973377,0.12792592893579383,,4502
STAFFSHORT,0.01347503219033365,0.10817182688867422,,4502
ESCS,0.06593510451541959,0.10482041915335845,,4502
BELONG,0.09223572086579887,0.24574948521052528,,4502
TEACHSUP,0.031071635904978363,0.12555865713248923,,4502
FAMSUP,0.030460500456634523,0.1571675114551437,,4502
