query_index,baseline_prediction,base_ST004D01T,base_GRADE,base_AGE,base_ESCS,base_IMMIG,base_HISEI,base_PAREDINT,base_HOMEPOS,base_ANXMAT,base_MATHEFF,base_MATHEF21,base_MATHPERS,base_FAMCON,base_BELONG,base_BULLIED,base_FEELSAFE,base_SCHRISK,base_FAMSUP,base_DISCLIM,base_TEACHSUP,base_COGACRCO,base_COGACMCO,base_STUBEHA,base_TEACHBEHA,base_EDUSHORT,base_STAFFSHORT,base_ICTRES,base_ICTHOME,base_ICTSCH,base_ICTEFFIC,base_ICTINFO,base_ICTSUBJ,base_STUDYHMW
19405,0.8220796585083008,0.0,0.0,16.08,-0.2693,1.0,70.34,12.0,-0.502,2.635,-1.8539,-0.825,0.0064,-0.7846,-0.2482,-1.228,-1.0389,-0.6386,-1.006,-0.9635,1.5558,0.1055,0.2263,-2.0034,-1.375,0.1534,-0.5869,-0.3629,0.3346,0.4062,-1.1232,-0.836,-2.0101,5.0
123510,0.9927697777748108,1.0,-2.0,16.17,-0.7283,1.0,44.14,16.0,-2.016,0.6647,-0.6753,0.7941,-1.0484,-0.6155,2.7308,,-1.2649,3.6492,-0.0322,-0.1361,-1.0693,-0.1402,0.1903,2.167,0.7185,1.22,0.21,-2.1448,,,,,,4.0
359538,0.72605961561203,1.0,0.0,15.92,-0.7306,1.0,30.34,16.0,-1.4063,-0.4777,0.4921,1.0539,-0.0252,,-0.6067,1.6686,0.4938,2.6536,0.244,0.163,-0.8059,0.3637,0.6527,0.869,0.9805,2.9595,0.2765,,,,,,,9.0
546555,0.8443209528923035,1.0,0.0,15.5,0.7215,-1.0,,16.0,1.386,,2.2952,2.3193,,,,,,,1.7684,1.7914,-2.9095,3.4623,2.5826,,,,,2.2977,,,,,,-1.0
39298,0.5348960757255554,1.0,0.0,15.67,-0.8058,1.0,20.91,14.5,-0.5639,0.4067,-0.5876,0.4995,0.3004,0.2564,0.3863,0.8217,0.6942,,1.1194,-0.5252,0.4357,0.5267,0.5868,1.6192,1.0348,1.2478,0.411,-0.6513,0.3346,0.4062,1.0886,-0.2002,0.7786,4.0
309089,0.9798911213874817,1.0,-1.0,16.08,-4.1999,0.0,17.0,9.0,-6.2058,0.1748,2.0169,1.3816,-0.3772,,2.7562,-0.391,0.6942,-0.6386,-0.556,1.6491,1.5558,1.6989,2.4978,0.9516,-0.055,0.9735,1.2432,-5.0283,0.3346,-1.0247,-0.5132,-0.836,2.1894,5.0
117145,0.8369863629341125,1.0,-1.0,16.33,-1.4491,-1.0,,12.0,-1.3607,-0.7358,-0.8437,0.2616,-0.2538,-0.33,0.1873,-1.228,-1.15,-0.6386,-1.5519,0.9297,1.5558,0.5247,0.2428,0.0459,-0.4289,-1.4212,0.028,-0.6793,,,,,,2.0
374180,0.8928336501121521,1.0,0.0,15.92,1.1851,1.0,84.14,16.0,0.7185,2.5026,-3.4021,-2.1803,-2.6378,-1.2805,-0.6474,1.9646,-1.7615,3.6492,-0.6068,1.8242,-0.1002,-0.2987,0.0575,-2.3015,-2.0409,0.4955,-1.4551,0.7366,,,,,,5.0
160831,0.4119504988193512,0.0,0.0,15.92,0.7364,1.0,82.41,16.0,-0.2638,0.602,,-0.2087,-0.5652,,0.7716,-0.391,0.1368,-0.6386,-1.193,0.7793,-1.3627,-0.8537,-0.8009,,0.2266,-0.627,-0.2968,-0.367,,,,,,6.0
603479,0.8934885263442993,0.0,-1.0,16.0,-1.2705,1.0,36.35,12.0,-1.3505,0.1932,-0.1362,-1.0175,-0.3405,-0.1973,-0.7557,0.6616,1.1246,-0.6386,0.9131,-0.33,0.4357,-1.1638,-1.3758,0.906,0.2533,0.8006,0.902,-1.2856,-1.1402,0.346,-0.9457,0.8436,-0.7335,10.0
