feature,importance,rank,group
HOMEPOS,0.71729016,1,Q1 (low)
ICTRES,0.41126025,2,Q1 (low)
MATHEFF,0.36505735,3,Q1 (low)
GRADE,0.2588755,4,Q1 (low)
HISEI,0.20622995,5,Q1 (low)
STUBEHA,0.19741161,6,Q1 (low)
ST004D01T,0.18977757,7,Q1 (low)
FAMCON,0.17829493,8,Q1 (low)
MATHPERS,0.15518935,9,Q1 (low)
BULLIED,0.14668952,10,Q1 (low)
COGACRCO,0.14255552,11,Q1 (low)
DISCLIM,0.14114425,12,Q1 (low)
ANXMAT,0.13892977,13,Q1 (low)
BELONG,0.13599116,14,Q1 (low)
STAFFSHORT,0.13579941,15,Q1 (low)
FAMSUP,0.13521092,16,Q1 (low)
EDUSHORT,0.13500829,17,Q1 (low)
COGACMCO,0.1331401,18,Q1 (low)
TEACHSUP,0.11792186,19,Q1 (low)
ESCS,0.11279904,20,Q1 (low)
TEACHBEHA,0.11192932,21,Q1 (low)
ICTEFFIC,0.10778607,22,Q1 (low)
STUDYHMW,0.10638949,23,Q1 (low)
ICTSUBJ,0.10351834,24,Q1 (low)
MATHEF21,0.09545231,25,Q1 (low)
ICTHOME,0.090964034,26,Q1 (low)
PAREDINT,0.0908346,27,Q1 (low)
SCHRISK,0.08998127,28,Q1 (low)
ICTSCH,0.08165871,29,Q1 (low)
FEELSAFE,0.078856096,30,Q1 (low)
ICTINFO,0.0624509,31,Q1 (low)
IMMIG,0.045983184,32,Q1 (low)
AGE,0.035761062,33,Q1 (low)
MATHEFF,0.4204593,1,Q2
HOMEPOS,0.41357368,2,Q2
ICTRES,0.261104,3,Q2
FAMCON,0.20973596,4,Q2
GRADE,0.20102799,5,Q2
STUBEHA,0.19696851,6,Q2
HISEI,0.18629664,7,Q2
COGACMCO,0.16954075,8,Q2
ST004D01T,0.16907707,9,Q2
ANXMAT,0.16226856,10,Q2
STAFFSHORT,0.15051223,11,Q2
ICTEFFIC,0.13959362,12,Q2
BELONG,0.13780409,13,Q2
COGACRCO,0.13538414,14,Q2
BULLIED,0.13494551,15,Q2
STUDYHMW,0.13366175,16,Q2
DISCLIM,0.13081075,17,Q2
FAMSUP,0.1303609,18,Q2
ICTSUBJ,0.12716231,19,Q2
MATHPERS,0.12638898,20,Q2
