task,model,feature_set,n_train,n_test,weighted_metrics,rmse,mae,r2,threshold,auc,average_precision,f1,precision,recall,brier
regression,ridge,main,490995,122749,True,70.1348044498641,55.61320658168973,0.463037445981374,,,,,,,
regression,elastic_net,main,490995,122749,True,70.13385860495725,55.6209323604656,0.463051928943897,,,,,,,
regression,random_forest,main,490995,122749,True,62.71912922311235,49.3826470765452,0.5705853470537837,,,,,,,
regression,hist_gradient_boosting,main,490995,122749,True,57.694661721953224,45.164444370697005,0.6366308254794996,,,,,,,
regression,xgboost,main,490995,122749,True,59.814997269900175,46.91284111518453,0.6094316975272254,,,,,,,
regression,lightgbm,main,490995,122749,True,57.60731570826792,45.11547691646309,0.6377302278385456,,,,,,,
classification,logistic_l2,main,490995,122749,True,,,,0.5,0.839539162352404,0.8525503507890082,0.7890119480582765,0.7482261347385915,0.8345005822881741,0.16351636582572096
classification,random_forest,main,490995,122749,True,,,,0.5,0.869564184043774,0.8818395393851873,0.8079757211059333,0.7773536879601918,0.8411092559616482,0.14837548154742397
classification,hist_gradient_boosting,main,490995,122749,True,,,,0.5,0.8891016920890045,0.9016097746095089,0.816763207111152,0.8092213278885494,0.824446988292955,0.13477071389272124
classification,xgboost,main,490995,122749,True,,,,0.5,0.8819120088355848,0.8946912195536239,0.8127208505184873,0.7997430496119747,0.8261267926441149,0.13922273463578713
classification,lightgbm,main,490995,122749,True,,,,0.5,0.8904069168397828,0.9027346052364357,0.8182900711847578,0.810603187945786,0.8261241383172021,0.13395120085213202
