feature,shap_rank,perm_rank,lime_rank
AGE,33,32,32
ANXMAT,9,11,26
BELONG,14,26,21
BULLIED,15,13,20
COGACMCO,8,6,13
COGACRCO,17,9,14
DISCLIM,16,16,16
EDUSHORT,21,15,10
ESCS,25,24,31
FAMCON,4,3,22
FAMSUP,18,18,2
FEELSAFE,27,31,19
GRADE,7,4,18
HISEI,5,10,29
HOMEPOS,1,1,27
ICTEFFIC,13,7,5
ICTHOME,26,28,7
ICTINFO,30,27,4
ICTRES,3,5,8
ICTSCH,29,29,6
ICTSUBJ,20,19,3
IMMIG,32,33,30
MATHEF21,23,14,24
MATHEFF,2,2,25
MATHPERS,19,17,23
PAREDINT,31,30,28
SCHRISK,28,22,17
ST004D01T,10,20,1
STAFFSHORT,11,25,9
STUBEHA,6,8,12
STUDYHMW,12,21,33
TEACHBEHA,22,23,11
TEACHSUP,24,12,15
