country,n_unweighted,weighted_math_mean,low_performer_rate_weighted,low_performer_rate_unweighted
Albania,6129,368.2217199510451,0.7534541039329193,0.7536302822646435
Argentina,12111,377.52902864845396,0.7439930603972187,0.6868136404921146
Australia,13437,487.0842535121308,0.2610636473983553,0.2572002679169457
Austria,6151,487.2674989673574,0.24640326347833355,0.22793041781824094
Baku (Azerbaijan),7720,396.8822928708397,0.6245815124795824,0.6181347150259068
Belgium,8286,489.486816744945,0.24403104597462405,0.2280955829109341
Brazil,10798,378.69136694698255,0.7478814589689723,0.7378218188553436
Brunei Darussalam,5576,442.0931044709813,0.4189591400231309,0.42431850789096126
Bulgaria,6107,417.3039003748683,0.5402349140205681,0.5357786147044376
Cambodia,5279,336.3960412593065,0.8965484996104953,0.9160825913998863
Canada,23073,496.9478944357039,0.20783710564076938,0.250075846227192
Chile,6488,411.6965707080961,0.5655296865344502,0.47410604192355116
Chinese Taipei,5857,547.094164388606,0.14215280392153326,0.17141881509305104
Colombia,7804,382.6968351295673,0.7259024166527392,0.6846488980010251
Costa Rica,6113,384.5760411243573,0.7336400724273654,0.7358089317847211
Croatia,6135,463.10518936749145,0.3264217487714465,0.32567237163814183
Czech Republic,8460,486.9992078519244,0.24969520196049486,0.2198581560283688
Denmark,6200,489.273876942411,0.1978153652423603,0.24516129032258063
Dominican Republic,6868,339.1072467325859,0.9355315425838329,0.9341875364006988
El Salvador,6705,343.4691009767226,0.9094844943678178,0.9049962714392245
Estonia,6392,509.94695322476144,0.13788394278174965,0.12531289111389238
Finland,10239,484.1392256377669,0.24242037186386664,0.2868444184002344
France,6770,473.9444184205984,0.2852664117382151,0.31388478581979323
Georgia,6583,390.0242203216826,0.6724109286268254,0.6712744949111348
Germany,6116,474.82645390785706,0.2922474721629057,0.2789404839764552
Greece,6403,430.14632185328054,0.4774094133139572,0.45947212244260505
Guatemala,5190,344.1994881372876,0.8789898506424548,0.873795761078998
Hong Kong (China),5907,540.3518012286893,0.1361001347594058,0.12510580667005247
Hungary,6198,472.77612237193983,0.2902930958442422,0.2575024201355276
Iceland,3360,458.91401434518576,0.33823525464398907,0.337202380952381
Indonesia,13439,365.52525387157687,0.8295628613765096,0.7632264305379864
Ireland,5569,491.6482795918827,0.18547664898365476,0.18369545699407433
Israel,6251,457.8966665933153,0.3738674141079193,0.3730603103503439
Italy,10552,471.25947547628664,0.28615027926178294,0.2727445034116755
Jamaica,3873,377.41693921863475,0.7511719045017085,0.7807900852052673
Japan,5760,535.5793059957158,0.11526990493659933,0.11822916666666666
Jordan,7799,361.22802836657854,0.847852705031239,0.8538274137709962
Kazakhstan,19769,425.4391288356629,0.5034196391692103,0.41939400070817945
Korea,6454,527.3025017804584,0.15920680949702362,0.15292841648590022
Kosovo,6027,354.96244382640873,0.8634268268210645,0.8725734196117472
Latvia,5373,483.15945520181765,0.21632027270502435,0.2166387493020659
Lithuania,7257,475.1467619772571,0.27429486175288426,0.28937577511368334
Macao (China),4384,551.9231530646219,0.07779453920149634,0.07778284671532847
Malaysia,7069,408.68743219425636,0.5990908186841791,0.5911727259867025
Malta,3127,466.0161129110568,0.32554819291867854,0.3121202430444516
Mexico,6288,395.0299192187101,0.6720358894812695,0.6685750636132316
Mongolia,6999,424.59312854284474,0.5216724761102548,0.5256465209315616
Montenegro,5793,405.60117333799354,0.6015546945494444,0.5979630588641464
Morocco,6867,364.7662406960326,0.8320384282510501,0.8399592252803262
Netherlands,5046,492.6756389784962,0.27019332085922176,0.2780420134760206
New Zealand,4682,479.07419345237787,0.2804837771088643,0.28235796668090557
North Macedonia,6610,388.575506783262,0.6712212534120343,0.6605143721633888
Norway,6611,468.44994989168754,0.31131788674250505,0.3099379821509605
Palestinian Authority,7905,365.7466764424854,0.815441127203009,0.8218848829854523
Panama,4544,356.57350391859563,0.8536820740758236,0.8661971830985915
Paraguay,5084,337.5397504361501,0.8648122905374859,0.8603461841070024
Peru,6968,391.2357846402293,0.6720814137920651,0.6587256027554536
Philippines,7193,354.71971278885803,0.8519446312534467,0.8543027943834284
Poland,6011,488.9600537637015,0.223316552026719,0.19846947263350523
