group_variable,group_value,n_unweighted,weighted_math_mean,low_performer_rate_weighted
ST004D01T,Female,305759,421.1116238774742,0.5482944723629859
ST004D01T,Male,307906,427.47941584479736,0.5297198085985353
ST004D01T,,79,552.0460609377454,0.03719118145246502
IMMIG,First-Generation student,33218,435.71765776614194,0.48567548969271684
IMMIG,Native student,499907,420.16472556329217,0.5569656807464797
IMMIG,Second-Generation student,35920,458.09884756358156,0.38457854141975467
IMMIG,,44699,439.4664051922242,0.4772710375206171
ESCS_QUINTILE,Q1,117656,373.3909730429259,0.7863713332816995
ESCS_QUINTILE,Q2,117655,405.42293148348165,0.6107222689133155
ESCS_QUINTILE,Q3,117655,434.32698074572716,0.4713048443484991
ESCS_QUINTILE,Q4,117655,464.44680066759827,0.33976522569646195
ESCS_QUINTILE,Q5,117655,514.2173296148572,0.16531265227762232
ESCS_QUINTILE,missing,25468,421.9137787166934,0.5239275423531607
