pv,estimand,task,group,metric,estimate,n
PV1MATH,population,regression,global,rmse,60.75842504397402,123406
PV1MATH,population,regression,global,r2,0.6239886949823547,123406
PV1MATH,population,classification,global,auc,0.8848497636102869,123406
PV1MATH,population,classification,global,brier,0.13667193024076518,123406
PV1MATH,population,classification,global,ece,0.032359694340339355,123406
PV1MATH,population,classification,global,calibration_slope,0.7847962463186352,123406
PV1MATH,population,classification,low_ses_non_native,auc,0.8514477067068614,2533
PV1MATH,population,classification,low_ses_non_native,brier,0.1561885111852778,2533
PV1MATH,population,classification,low_ses_non_native,ece,0.06784253487787212,2533
PV1MATH,population,classification,low_ses_non_native,calibration_slope,0.8417261070894612,2533
PV1MATH,population,classification,high_ses_native,auc,0.8570790206685748,24909
PV1MATH,population,classification,high_ses_native,brier,0.10882200107730483,24909
PV1MATH,population,classification,high_ses_native,ece,0.029312534019253073,24909
PV1MATH,population,classification,high_ses_native,calibration_slope,0.8296836397300086,24909
PV1MATH,population,classification,contrast,auc_difference,-0.005631313961713347,27442
PV1MATH,population,classification,contrast,ece_difference,0.03548284053753276,27442
PV1MATH,population,classification,contrast,slope_difference,0.05692986077082596,27442
PV1MATH,senate,regression,global,rmse,64.72562455713889,123406
PV1MATH,senate,regression,global,r2,0.6050507231300768,123406
PV1MATH,senate,classification,global,auc,0.8769367259861898,123406
PV1MATH,senate,classification,global,brier,0.14305396423948216,123406
PV1MATH,senate,classification,global,ece,0.021576824501065524,123406
PV1MATH,senate,classification,global,calibration_slope,0.8553865220334604,123406
PV1MATH,senate,classification,low_ses_non_native,auc,0.850482984874408,2533
PV1MATH,senate,classification,low_ses_non_native,brier,0.15849525631397696,2533
PV1MATH,senate,classification,low_ses_non_native,ece,0.028837017917979116,2533
PV1MATH,senate,classification,low_ses_non_native,calibration_slope,0.857114509533532,2533
PV1MATH,senate,classification,high_ses_native,auc,0.8555954942658922,24909
PV1MATH,senate,classification,high_ses_native,brier,0.10902963339083904,24909
PV1MATH,senate,classification,high_ses_native,ece,0.017415658806064903,24909
PV1MATH,senate,classification,high_ses_native,calibration_slope,0.8913261541652573,24909
PV1MATH,senate,classification,contrast,auc_difference,-0.005112509391484221,27442
PV1MATH,senate,classification,contrast,ece_difference,0.007260193416913592,27442
PV1MATH,senate,classification,contrast,slope_difference,0.0017279875000715261,27442
PV2MATH,population,regression,global,rmse,60.91948266789807,123406
PV2MATH,population,regression,global,r2,0.6224327140957797,123406
PV2MATH,population,classification,global,auc,0.886142014407902,123406
PV2MATH,population,classification,global,brier,0.13598320860157104,123406
PV2MATH,population,classification,global,ece,0.03134268010900451,123406
PV2MATH,population,classification,global,calibration_slope,0.794933455591658,123406
PV2MATH,population,classification,low_ses_non_native,auc,0.841231588415417,2533
PV2MATH,population,classification,low_ses_non_native,brier,0.1602761987693317,2533
PV2MATH,population,classification,low_ses_non_native,ece,0.062326080538515384,2533
PV2MATH,population,classification,low_ses_non_native,calibration_slope,0.782074082039946,2533
PV2MATH,population,classification,high_ses_native,auc,0.8596681892483048,24909
PV2MATH,population,classification,high_ses_native,brier,0.1065488831224304,24909
PV2MATH,population,classification,high_ses_native,ece,0.03207146524747547,24909
PV2MATH,population,classification,high_ses_native,calibration_slope,0.8353507634999371,24909
PV2MATH,population,classification,contrast,auc_difference,-0.018436600832887784,27442
PV2MATH,population,classification,contrast,ece_difference,0.030983400429510873,27442
