row_type,pv,task,group,metric,replicate,estimate,full_estimate,valid_replicates,failed_replicates,sampling_variance,sampling_standard_error
replicate,PV1MATH,regression,global,rmse,1.0,60.92998514712582,,,,,
replicate,PV1MATH,regression,global,r2,1.0,0.6155594703851979,,,,,
replicate,PV1MATH,classification,global,auc,1.0,0.8818699057503963,,,,,
replicate,PV1MATH,classification,global,brier,1.0,0.13820682580000468,,,,,
replicate,PV1MATH,classification,global,ece,1.0,0.02992657606316489,,,,,
replicate,PV1MATH,classification,global,calibration_slope,1.0,0.7863343845977873,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,1.0,0.851557772599961,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,1.0,0.15466758559452837,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,1.0,0.0684920399398661,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,1.0,0.8487813241599934,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,1.0,0.8507573001952796,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,1.0,0.11035584900138681,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,1.0,0.030766595321050666,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,1.0,0.8007538425923366,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,1.0,0.000800472404681396,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,1.0,0.03856546387670122,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,1.0,0.06244693956220615,,,,,
replicate,PV1MATH,regression,global,rmse,2.0,60.69513547703157,,,,,
replicate,PV1MATH,regression,global,r2,2.0,0.6173854693555081,,,,,
replicate,PV1MATH,classification,global,auc,2.0,0.8804772115736988,,,,,
replicate,PV1MATH,classification,global,brier,2.0,0.1395310547170059,,,,,
replicate,PV1MATH,classification,global,ece,2.0,0.03501774455300306,,,,,
replicate,PV1MATH,classification,global,calibration_slope,2.0,0.7767094290675726,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,2.0,0.8444141539603116,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,2.0,0.16206762734141178,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,2.0,0.08436163180441542,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,2.0,0.8125126625389335,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,2.0,0.8536881533762425,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,2.0,0.11362929291840235,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,2.0,0.038071469107599495,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,2.0,0.8252565310260671,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,2.0,-0.009273999415930878,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,2.0,0.04934388725141235,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,2.0,0.03580323347136094,,,,,
replicate,PV1MATH,regression,global,rmse,3.0,60.46902456400289,,,,,
replicate,PV1MATH,regression,global,r2,3.0,0.6258883862660961,,,,,
replicate,PV1MATH,classification,global,auc,3.0,0.8850982435914105,,,,,
replicate,PV1MATH,classification,global,brier,3.0,0.13632353616097273,,,,,
replicate,PV1MATH,classification,global,ece,3.0,0.030948418322169817,,,,,
replicate,PV1MATH,classification,global,calibration_slope,3.0,0.7880070221015365,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,3.0,0.8501886853739222,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,3.0,0.15732445975576634,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,3.0,0.08459465212961455,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,3.0,0.8285691941906922,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,3.0,0.8543189765235009,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,3.0,0.10989154070779038,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,3.0,0.033467217416197695,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,3.0,0.8167424353075873,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,3.0,-0.004130291149578635,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,3.0,0.05364623380744473,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,3.0,0.04056217208915569,,,,,
replicate,PV1MATH,regression,global,rmse,4.0,60.971586993214025,,,,,
replicate,PV1MATH,regression,global,r2,4.0,0.6219753770729837,,,,,
replicate,PV1MATH,classification,global,auc,4.0,0.8857226605958807,,,,,
replicate,PV1MATH,classification,global,brier,4.0,0.13587078133425573,,,,,
replicate,PV1MATH,classification,global,ece,4.0,0.034264557072516105,,,,,
replicate,PV1MATH,classification,global,calibration_slope,4.0,0.7851022821540198,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,4.0,0.8492459249011025,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,4.0,0.15912526943206962,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,4.0,0.07125002870567035,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,4.0,0.8260353244423173,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,4.0,0.8547168919439923,,,,,
