country,schools_total,schools_train,schools_test
Albania,274,219,55
Argentina,457,366,91
Australia,743,594,149
Austria,302,242,60
Baku (Azerbaijan),199,159,40
Belgium,285,228,57
Brazil,598,478,120
Brunei Darussalam,54,43,11
Bulgaria,202,162,40
Cambodia,183,146,37
Canada,863,690,173
Chile,230,184,46
Chinese Taipei,182,146,36
Colombia,262,210,52
Costa Rica,198,158,40
Croatia,180,144,36
Czech Republic,430,344,86
Denmark,347,278,69
Dominican Republic,253,202,51
El Salvador,290,232,58
Estonia,196,157,39
Finland,241,193,48
France,282,226,56
Georgia,267,214,53
Germany,257,206,51
Greece,230,184,46
Guatemala,290,232,58
Hong Kong (China),163,130,33
Hungary,262,210,52
Iceland,134,107,27
Indonesia,410,328,82
Ireland,170,136,34
Israel,193,154,39
Italy,344,275,69
Jamaica,147,118,29
Japan,182,146,36
Jordan,260,208,52
Kazakhstan,571,457,114
Korea,186,149,37
Kosovo,229,183,46
Latvia,225,180,45
Lithuania,292,234,58
Macao (China),46,37,9
Malaysia,199,159,40
Malta,46,37,9
Mexico,280,224,56
Mongolia,195,156,39
Montenegro,63,50,13
Morocco,178,142,36
Netherlands,154,123,31
New Zealand,169,135,34
North Macedonia,111,89,22
Norway,265,212,53
Palestinian Authority,273,218,55
Panama,215,172,43
Paraguay,281,225,56
Peru,336,269,67
Philippines,188,150,38
Poland,240,192,48
Portugal,224,179,45
Qatar,229,183,46
Republic of Moldova,265,212,53
Romania,262,210,52
Saudi Arabia,193,154,39
Serbia,183,146,37
Singapore,164,131,33
Slovak Republic,288,230,58
Slovenia,345,276,69
Spain,966,773,193
Sweden,262,210,52
Switzerland,260,208,52
Thailand,279,223,56
Türkiye,196,157,39
Ukrainian regions (18 of 27),164,131,33
United Arab Emirates,840,672,168
United Kingdom,451,361,90
United States,154,123,31
Uruguay,222,178,44
Uzbekistan,202,162,40
Viet Nam,178,142,36
