task,group,metric,population_pv_pooled_estimate,senate_pv_pooled_estimate,senate_minus_population,senate_variance_status
classification,contrast,auc_difference,-0.07849048996128728,-0.012944870378621697,0.06554561958266558,POINT_ESTIMAND_SENSITIVITY_ONLY
classification,contrast,ece_difference,0.08093686625346486,0.025979757320551872,-0.05495710893291299,POINT_ESTIMAND_SENSITIVITY_ONLY
classification,contrast,slope_difference,-0.21907766674245152,-0.029881715868034252,0.18919595087441726,POINT_ESTIMAND_SENSITIVITY_ONLY
classification,global,auc,0.886520275814396,0.8793781333040972,-0.007142142510298766,POINT_ESTIMAND_SENSITIVITY_ONLY
classification,global,brier,0.13753564956107128,0.1417700669198911,0.004234417358819825,POINT_ESTIMAND_SENSITIVITY_ONLY
classification,global,calibration_slope,0.8050991616325793,0.8670929785854751,0.06199381695289574,POINT_ESTIMAND_SENSITIVITY_ONLY
classification,global,ece,0.03252725421227193,0.02222512277676606,-0.010302131435505867,POINT_ESTIMAND_SENSITIVITY_ONLY
classification,high_ses_native,auc,0.8555195807698975,0.8641328059023718,0.008613225132474311,POINT_ESTIMAND_SENSITIVITY_ONLY
classification,high_ses_native,brier,0.11237473555988356,0.10819880420533978,-0.004175931354543777,POINT_ESTIMAND_SENSITIVITY_ONLY
classification,high_ses_native,calibration_slope,0.836185696671928,0.9149088670323741,0.07872317036044607,POINT_ESTIMAND_SENSITIVITY_ONLY
classification,high_ses_native,ece,0.03175224458195412,0.016736412647259384,-0.015015831934694739,POINT_ESTIMAND_SENSITIVITY_ONLY
classification,low_ses_non_native,auc,0.7770290908086104,0.85118793552375,0.07415884471513967,POINT_ESTIMAND_SENSITIVITY_ONLY
classification,low_ses_non_native,brier,0.19932528046614872,0.16020354369632833,-0.03912173676982039,POINT_ESTIMAND_SENSITIVITY_ONLY
classification,low_ses_non_native,calibration_slope,0.5860214948901278,0.837211262717441,0.25118976782731317,POINT_ESTIMAND_SENSITIVITY_ONLY
classification,low_ses_non_native,ece,0.1134641204657368,0.04820488009731792,-0.06525924036841887,POINT_ESTIMAND_SENSITIVITY_ONLY
regression,global,r2,0.6345841956512924,0.6185600364968822,-0.016024159154410245,POINT_ESTIMAND_SENSITIVITY_ONLY
regression,global,rmse,59.82283575925754,64.15550959059046,4.332673831332912,POINT_ESTIMAND_SENSITIVITY_ONLY
