estimand,task,group,metric,pv_count,estimate,sampling_variance,imputation_variance,total_variance,standard_error,ci_lower,ci_upper,status
population,classification,contrast,auc_difference,10,-0.07849048996128728,0.0008860260374308383,0.0008349570598661476,0.0018044788032836006,0.042479157280760654,-0.16174963823157817,0.0047686583090035956,MANUSCRIPT_CANDIDATE_PENDING_STOP_CHECK
population,classification,contrast,ece_difference,10,0.08093686625346486,0.0007413057630390324,0.0002057535457860422,0.0009676346634036789,0.031106826636667376,0.019967486045596804,0.1419062464613329,MANUSCRIPT_CANDIDATE_PENDING_STOP_CHECK
population,classification,contrast,slope_difference,10,-0.21907766674245152,0.00691420353849444,0.009004990733374544,0.01681969334520644,0.1296907604465578,-0.47327155721770486,0.03511622373280179,MANUSCRIPT_CANDIDATE_PENDING_STOP_CHECK
population,classification,global,auc,10,0.886520275814396,6.7751167068301405e-06,4.253143870135421e-06,1.1453574963979104e-05,0.0033843130712123996,0.8798870221948196,0.8931535294339723,MANUSCRIPT_CANDIDATE_PENDING_STOP_CHECK
population,classification,global,brier,10,0.13753564956107128,3.265491167259448e-06,1.996763348741279e-06,5.461930850874855e-06,0.0023370774165343464,0.13295497782466398,0.1421163212974786,MANUSCRIPT_CANDIDATE_PENDING_STOP_CHECK
population,classification,global,calibration_slope,10,0.8050991616325793,0.00014205808749386992,0.00014462124220211817,0.0003011414539161999,0.01735342772815215,0.7710864432854011,0.8391118799797576,MANUSCRIPT_CANDIDATE_PENDING_STOP_CHECK
population,classification,global,ece,10,0.03252725421227193,6.832121374243822e-06,4.311976650331346e-06,1.1575295689608303e-05,0.003402248622544846,0.02585884691208403,0.039195661512459824,MANUSCRIPT_CANDIDATE_PENDING_STOP_CHECK
population,classification,high_ses_native,auc,10,0.8555195807698975,8.395772011765882e-05,2.8157635938367767e-05,0.00011493111964986337,0.010720593250835672,0.8345072179982597,0.8765319435415354,MANUSCRIPT_CANDIDATE_PENDING_STOP_CHECK
population,classification,high_ses_native,brier,10,0.11237473555988356,2.1534336533632153e-05,4.470588841321977e-06,2.6451984259086328e-05,0.005143149254988264,0.10229416302010656,0.12245530809966056,MANUSCRIPT_CANDIDATE_PENDING_STOP_CHECK
population,classification,high_ses_native,calibration_slope,10,0.836185696671928,0.001803989212128075,0.0007690733246281135,0.002649969869219,0.05147785804808704,0.7352890948976774,0.9370822984461786,MANUSCRIPT_CANDIDATE_PENDING_STOP_CHECK
population,classification,high_ses_native,ece,10,0.03175224458195412,3.972306221430995e-05,7.287371620427065e-06,4.773917099677972e-05,0.006909353876939559,0.018209910983152586,0.04529457818075566,MANUSCRIPT_CANDIDATE_PENDING_STOP_CHECK
population,classification,low_ses_non_native,auc,10,0.7770290908086104,0.0008245738861882995,0.0007579719345924668,0.0016583430142400129,0.040722757940002206,0.697212485246206,0.8568456963710147,MANUSCRIPT_CANDIDATE_PENDING_STOP_CHECK
population,classification,low_ses_non_native,brier,10,0.19932528046614872,0.00027142284195570676,0.00023498636993256124,0.0005299078488815241,0.02301972738503921,0.15420661479147188,0.24444394614082557,MANUSCRIPT_CANDIDATE_PENDING_STOP_CHECK
population,classification,low_ses_non_native,calibration_slope,10,0.5860214948901278,0.007062750652036936,0.009667768362977665,0.01769729585131237,0.1330311837552097,0.3252803747299168,0.8467626150503388,MANUSCRIPT_CANDIDATE_PENDING_STOP_CHECK
population,classification,low_ses_non_native,ece,10,0.1134641204657368,0.000750790420706228,0.00022448893340020322,0.0009977282474464516,0.03158683661664225,0.051553920697117984,0.17537432023435562,MANUSCRIPT_CANDIDATE_PENDING_STOP_CHECK
population,regression,global,r2,10,0.6345841956512924,2.2884434513459653e-05,1.5725030338262168e-06,2.461418785066849e-05,0.00496126877428229,0.6248601088536991,0.6443082824488857,MANUSCRIPT_CANDIDATE_PENDING_STOP_CHECK
population,regression,global,rmse,10,59.82283575925754,0.10596679130929329,0.015192907203459822,0.1226789892330991,0.35025560556984536,59.136334772340646,60.50933674617444,MANUSCRIPT_CANDIDATE_PENDING_STOP_CHECK
