pv,estimand,task,group,metric,estimate,n
PV1MATH,population,regression,global,rmse,59.80634932958253,122749
PV1MATH,population,regression,global,r2,0.6357453154632027,122749
PV1MATH,population,classification,global,auc,0.8878029933811664,122749
PV1MATH,population,classification,global,brier,0.13654767672781185,122749
PV1MATH,population,classification,global,ece,0.03107665755207031,122749
PV1MATH,population,classification,global,calibration_slope,0.8106489913156413,122749
PV1MATH,population,classification,low_ses_non_native,auc,0.8121349486703222,2495
PV1MATH,population,classification,low_ses_non_native,brier,0.1786108351061134,2495
PV1MATH,population,classification,low_ses_non_native,ece,0.09264327429826624,2495
PV1MATH,population,classification,low_ses_non_native,calibration_slope,0.73043740170377,2495
PV1MATH,population,classification,high_ses_native,auc,0.8605623705376134,24678
PV1MATH,population,classification,high_ses_native,brier,0.11151485703668011,24678
PV1MATH,population,classification,high_ses_native,ece,0.02748460036282438,24678
PV1MATH,population,classification,high_ses_native,calibration_slope,0.8619917643982495,24678
PV1MATH,population,classification,contrast,auc_difference,-0.04842742186729121,27173
PV1MATH,population,classification,contrast,ece_difference,0.06156661674619593,27173
PV1MATH,population,classification,contrast,slope_difference,-0.08021158961187125,27173
PV1MATH,senate,regression,global,rmse,64.14185014144017,122749
PV1MATH,senate,regression,global,r2,0.6176095634008683,122749
PV1MATH,senate,classification,global,auc,0.8787242308460707,122749
PV1MATH,senate,classification,global,brier,0.1421160702621556,122749
PV1MATH,senate,classification,global,ece,0.021701924193348807,122749
PV1MATH,senate,classification,global,calibration_slope,0.8637879605344146,122749
PV1MATH,senate,classification,low_ses_non_native,auc,0.8468390102968032,2495
PV1MATH,senate,classification,low_ses_non_native,brier,0.16276254886174632,2495
PV1MATH,senate,classification,low_ses_non_native,ece,0.057221413168345184,2495
PV1MATH,senate,classification,low_ses_non_native,calibration_slope,0.8325742370009318,2495
PV1MATH,senate,classification,high_ses_native,auc,0.861364557845614,24678
PV1MATH,senate,classification,high_ses_native,brier,0.10935387756192735,24678
PV1MATH,senate,classification,high_ses_native,ece,0.01792159472464828,24678
PV1MATH,senate,classification,high_ses_native,calibration_slope,0.9088188162111388,24678
PV1MATH,senate,classification,contrast,auc_difference,-0.014525547548810858,27173
PV1MATH,senate,classification,contrast,ece_difference,0.03551948897499638,27173
PV1MATH,senate,classification,contrast,slope_difference,-0.03121372353348284,27173
PV2MATH,population,regression,global,rmse,59.69353540755261,122749
PV2MATH,population,regression,global,r2,0.6335953149041957,122749
PV2MATH,population,classification,global,auc,0.8820230841336442,122749
PV2MATH,population,classification,global,brier,0.14085425851285674,122749
PV2MATH,population,classification,global,ece,0.03802087190896417,122749
PV2MATH,population,classification,global,calibration_slope,0.7808310760762611,122749
PV2MATH,population,classification,low_ses_non_native,auc,0.764293864837047,2495
PV2MATH,population,classification,low_ses_non_native,brier,0.20951458520892047,2495
PV2MATH,population,classification,low_ses_non_native,ece,0.1260674456094991,2495
PV2MATH,population,classification,low_ses_non_native,calibration_slope,0.5382065428250329,2495
PV2MATH,population,classification,high_ses_native,auc,0.8472222640359784,24678
PV2MATH,population,classification,high_ses_native,brier,0.11538070347975277,24678
PV2MATH,population,classification,high_ses_native,ece,0.0354285770421419,24678
PV2MATH,population,classification,high_ses_native,calibration_slope,0.7831342034718137,24678
PV2MATH,population,classification,contrast,auc_difference,-0.08292839919893147,27173
PV2MATH,population,classification,contrast,ece_difference,0.08804657370053492,27173
PV2MATH,population,classification,contrast,slope_difference,-0.24262453325122824,27173
PV2MATH,senate,regression,global,rmse,64.07324747413166,122749
PV2MATH,senate,regression,global,r2,0.6184661448397222,122749
PV2MATH,senate,classification,global,auc,0.8793436687397861,122749
PV2MATH,senate,classification,global,brier,0.14181270830139722,122749
PV2MATH,senate,classification,global,ece,0.02272781123221185,122749
PV2MATH,senate,classification,global,calibration_slope,0.8647314599068536,122749
PV2MATH,senate,classification,low_ses_non_native,auc,0.8632428178165719,2495
PV2MATH,senate,classification,low_ses_non_native,brier,0.15327074335985666,2495
PV2MATH,senate,classification,low_ses_non_native,ece,0.041358667002411184,2495
PV2MATH,senate,classification,low_ses_non_native,calibration_slope,0.8818852262384254,2495
PV2MATH,senate,classification,high_ses_native,auc,0.8611978152839624,24678
PV2MATH,senate,classification,high_ses_native,brier,0.10937767337508116,24678
PV2MATH,senate,classification,high_ses_native,ece,0.01748683963765177,24678
PV2MATH,senate,classification,high_ses_native,calibration_slope,0.887506711767158,24678
PV2MATH,senate,classification,contrast,auc_difference,0.002045002532609419,27173
PV2MATH,senate,classification,contrast,ece_difference,0.018630855770199333,27173
PV2MATH,senate,classification,contrast,slope_difference,0.01715376633157173,27173
PV3MATH,population,regression,global,rmse,59.847471218391135,122749
PV3MATH,population,regression,global,r2,0.6353581955159046,122749
PV3MATH,population,classification,global,auc,0.8883915168056618,122749
PV3MATH,population,classification,global,brier,0.13656985223877874,122749
PV3MATH,population,classification,global,ece,0.031804381660581554,122749
PV3MATH,population,classification,global,calibration_slope,0.8178025257256589,122749
PV3MATH,population,classification,low_ses_non_native,auc,0.7811507222577696,2495
PV3MATH,population,classification,low_ses_non_native,brier,0.19370896984384336,2495
PV3MATH,population,classification,low_ses_non_native,ece,0.08667924648912691,2495
PV3MATH,population,classification,low_ses_non_native,calibration_slope,0.600861814378759,2495
PV3MATH,population,classification,high_ses_native,auc,0.8576147418832619,24678
PV3MATH,population,classification,high_ses_native,brier,0.11096156067225091,24678
PV3MATH,population,classification,high_ses_native,ece,0.03152922483800082,24678
PV3MATH,population,classification,high_ses_native,calibration_slope,0.842247551136781,24678
PV3MATH,population,classification,contrast,auc_difference,-0.07646401962549232,27173
PV3MATH,population,classification,contrast,ece_difference,0.05487486482854535,27173
PV3MATH,population,classification,contrast,slope_difference,-0.21694071134689996,27173
PV3MATH,senate,regression,global,rmse,64.20198156949031,122749
PV3MATH,senate,regression,global,r2,0.619648010301701,122749
PV3MATH,senate,classification,global,auc,0.8800136553248851,122749
PV3MATH,senate,classification,global,brier,0.1413859011913994,122749
PV3MATH,senate,classification,global,ece,0.02188457106127047,122749
PV3MATH,senate,classification,global,calibration_slope,0.8681478722359346,122749
PV3MATH,senate,classification,low_ses_non_native,auc,0.8441061962143499,2495
PV3MATH,senate,classification,low_ses_non_native,brier,0.1639963153464287,2495
PV3MATH,senate,classification,low_ses_non_native,ece,0.04638233072685273,2495
PV3MATH,senate,classification,low_ses_non_native,calibration_slope,0.8073330236879724,2495
PV3MATH,senate,classification,high_ses_native,auc,0.8640722089341445,24678
PV3MATH,senate,classification,high_ses_native,brier,0.10666066745624155,24678
PV3MATH,senate,classification,high_ses_native,ece,0.014744739024467922,24678
PV3MATH,senate,classification,high_ses_native,calibration_slope,0.9143270248779481,24678
PV3MATH,senate,classification,contrast,auc_difference,-0.01996601271979459,27173
PV3MATH,senate,classification,contrast,ece_difference,0.02449775966558226,27173
PV3MATH,senate,classification,contrast,slope_difference,-0.06081484854796215,27173
PV4MATH,population,regression,global,rmse,59.929345232811436,122749
