row_type,pv,task,group,metric,replicate,estimate,full_estimate,valid_replicates,failed_replicates,sampling_variance,sampling_standard_error
replicate,PV1MATH,regression,global,rmse,1.0,59.788745813342096,,,,,
replicate,PV1MATH,regression,global,r2,1.0,0.6374767187289949,,,,,
replicate,PV1MATH,classification,global,auc,1.0,0.8865937851335549,,,,,
replicate,PV1MATH,classification,global,brier,1.0,0.13722194621080083,,,,,
replicate,PV1MATH,classification,global,ece,1.0,0.03170353745256843,,,,,
replicate,PV1MATH,classification,global,calibration_slope,1.0,0.8076399498312888,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,1.0,0.8139784259766194,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,1.0,0.17770462719357494,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,1.0,0.09596541093645636,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,1.0,0.7400325132017842,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,1.0,0.8669805203836871,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,1.0,0.10641764972675379,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,1.0,0.023429187235088834,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,1.0,0.888900451843988,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,1.0,-0.05300209440706771,,,,,
replicate,PV1MATH,classification,contrast,ece_difference,1.0,0.06426187348388793,,,,,
replicate,PV1MATH,classification,contrast,slope_difference,1.0,-0.06760743662950464,,,,,
replicate,PV1MATH,regression,global,rmse,2.0,59.8048894359462,,,,,
replicate,PV1MATH,regression,global,r2,2.0,0.6353738429734738,,,,,
replicate,PV1MATH,classification,global,auc,2.0,0.886459966465746,,,,,
replicate,PV1MATH,classification,global,brier,2.0,0.13746651340989577,,,,,
replicate,PV1MATH,classification,global,ece,2.0,0.03211272062764735,,,,,
replicate,PV1MATH,classification,global,calibration_slope,2.0,0.80566510732765,,,,,
replicate,PV1MATH,classification,low_ses_non_native,auc,2.0,0.7904816411294959,,,,,
replicate,PV1MATH,classification,low_ses_non_native,brier,2.0,0.18960742037141243,,,,,
replicate,PV1MATH,classification,low_ses_non_native,ece,2.0,0.10281513662554786,,,,,
replicate,PV1MATH,classification,low_ses_non_native,calibration_slope,2.0,0.6815746169652079,,,,,
replicate,PV1MATH,classification,high_ses_native,auc,2.0,0.8537063092061946,,,,,
replicate,PV1MATH,classification,high_ses_native,brier,2.0,0.11564064248221709,,,,,
replicate,PV1MATH,classification,high_ses_native,ece,2.0,0.033829540793924695,,,,,
replicate,PV1MATH,classification,high_ses_native,calibration_slope,2.0,0.8242269847205735,,,,,
replicate,PV1MATH,classification,contrast,auc_difference,2.0,-0.06322466807669869,,,,,
